valid_time,u10,v10,d2m,t2m,blh,cbh,sp,tcc,tp,latitude,longitude
2026-03-07 03:00:00,0.32922363,-0.6936493,277.10443,279.2525,13.500942,1127.9972,100981.41,0.23034668,0.0,45.5,9.25
2026-03-07 04:00:00,0.40141296,-0.8256073,276.70154,278.56494,14.259558,1054.3119,101001.88,0.18356323,0.0,45.5,9.25
2026-03-07 05:00:00,0.45051575,-0.8029785,276.09674,277.85083,15.311406,659.2083,100996.08,0.060180664,0.0,45.5,9.25
2026-03-07 06:00:00,0.5088043,-0.7707062,276.1004,277.4891,17.61981,658.9123,101024.79,0.033447266,0.0,45.5,9.25
2026-03-07 07:00:00,0.39297485,-1.0020142,276.98276,278.62946,20.497486,,101047.25,0.030090332,0.0,45.5,9.25
2026-03-07 08:00:00,0.19903564,-0.49560547,278.2602,281.47528,57.480644,,101071.56,0.009307861,0.0,45.5,9.25
2026-03-07 09:00:00,0.09448242,0.013504028,279.6703,284.5188,247.5402,,101066.78,0.0,0.0,45.5,9.25
2026-03-07 10:00:00,0.4901886,0.14451599,280.00415,286.74255,512.6004,,101070.97,0.0,0.0,45.5,9.25
2026-03-07 11:00:00,0.17350769,0.7369232,279.56006,288.14124,715.111,,101036.234,0.0033569336,0.0,45.5,9.25
2026-03-07 12:00:00,-0.089767456,0.7742157,279.41806,289.3318,889.20483,,100986.305,0.07809448,0.0,45.5,9.25
2026-03-07 13:00:00,-0.39367676,0.6237793,279.1942,290.24957,1004.58575,,100909.42,0.119628906,0.0,45.5,9.25
2026-03-07 14:00:00,-0.4846344,0.59721375,279.12042,290.7246,979.71295,,100849.03,0.01739502,0.0,45.5,9.25
2026-03-07 15:00:00,-0.5296173,0.89941406,278.94574,290.6969,835.9419,,100829.91,0.0069274902,0.0,45.5,9.25
2026-03-07 16:00:00,-0.5168915,1.1388855,279.50055,289.85217,497.32605,,100805.336,0.0007019043,0.0,45.5,9.25
2026-03-07 17:00:00,-1.1924286,1.107544,280.80246,287.84796,111.29443,,100855.03,0.0,0.0,45.5,9.25
2026-03-07 18:00:00,-1.7648315,1.0212555,280.70435,285.3834,68.128654,,100903.15,0.0,0.0,45.5,9.25
2026-03-07 19:00:00,-2.2253265,0.30163574,279.52673,283.4979,54.361717,,100941.44,0.0082092285,0.0,45.5,9.25
2026-03-07 20:00:00,-2.198166,-0.56617737,278.75644,282.6643,46.047203,,100986.91,0.039916992,0.0,45.5,9.25
2026-03-07 21:00:00,-2.0471497,-1.1051178,278.23578,282.13803,41.195118,,101015.91,0.07180786,0.0,45.5,9.25
2026-03-07 22:00:00,-1.9824219,-1.481308,277.99545,281.54636,42.23018,,101027.55,0.1628418,0.0,45.5,9.25
2026-03-07 23:00:00,-1.5836945,-1.4990234,277.4895,281.1748,33.42299,,101006.78,0.1925354,0.0,45.5,9.25
2026-03-08 00:00:00,-1.2350311,-1.1901093,277.40674,281.63293,28.763454,,101013.586,0.089904785,0.0,45.5,9.25
