time,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,image_path,PM25,Unit,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max
2026-03-04 03:00:00,83.8257741440981,99.72141032192133,120.5747266223812,0.3032914251701679,1.4383967987783106,16.89105746589143,data\raw\images\20260304-0400.jpg,40.82727,ug.m-3,280.7835,279.16617,89.49669218908039,-1.0162354,-0.95225525,101157.13,4.7683716e-07,37.950806,0.7382202,434.82153,1.3926681045266034,55427.105,15298.328,249.05899,274.82825,10.19725,0.7706604,-2.1240845,0.82406616,10.2,37.0,87.0,,1.2
2026-03-04 04:00:00,88.61628513030148,103.33454266734796,125.6396678589678,0.2956191876978636,1.417794328169284,20.800681744899297,data\raw\images\20260304-0500.jpg,43.951904,ug.m-3,280.57693,278.97797,89.59401836020604,-0.99458313,-0.24273682,101140.66,4.7683716e-07,28.107906,0.19210815,178.84036,1.023775740220635,55413.33,15276.988,249.08246,274.9478,9.613922,0.5904846,-2.5009613,0.97813416,9.7,344.0,89.3,0.3,1.6
2026-03-04 05:00:00,89.65048032703118,102.73226877874298,124.04765457332653,0.2791312646469286,1.383680854102944,21.424451539564327,data\raw\images\20260304-0600.jpg,37.53336,ug.m-3,280.12042,278.66956,90.48282902801442,-1.0180511,-0.047958374,101126.41,0.0,27.466356,0.22735596,198.4037,1.0191800860730815,55408.25,15261.68,249.11113,275.16776,8.908218,0.5454407,-2.4075928,0.7924652,9.3,86.0,90.9,0.4,0.9
2026-03-04 06:00:00,110.89252427184466,142.78926417986713,173.39620848237098,0.3652102669092071,1.563641986304336,30.656624842153462,data\raw\images\20260304-0700.jpg,44.1042,ug.m-3,280.05728,278.60623,90.47705081344228,-1.0028839,-0.047943115,101157.53,0.0,27.798416,0.23782349,111.86107,1.0040292123016707,55431.19,15281.609,249.14757,275.14423,8.435242,0.35185242,-2.2783356,0.286438,9.2,6.0,91.7,0.5,1.6
2026-03-04 07:00:00,109.90966274910578,141.6534031681145,172.68192641798672,0.3681785906753271,1.5711259640660271,29.95424602747281,data\raw\images\20260304-0800.jpg,42.36564,ug.m-3,280.55756,278.77582,88.46604231608802,-0.71810913,-0.37669373,101176.125,0.0,29.494919,0.2616577,555.04297,0.8109123804768736,55432.086,15288.574,249.2033,275.00403,7.9765167,-0.13954163,-2.4356995,0.41560364,9.5,57.0,89.9,,1.2
2026-03-04 08:00:00,106.74345937659685,137.40552376085844,164.51820132856412,0.3551003388638643,1.5412485294006284,27.339935319638755,data\raw\images\20260304-0900.jpg,48.26243,ug.m-3,281.73727,279.18915,84.01681002076356,-0.8699188,-0.04437256,101236.37,9.536743e-07,237.4377,0.3692932,562.41974,0.8710497360509293,55477.996,15335.461,249.25217,274.99133,7.4960175,-0.117630005,-2.4893188,1.0082092,11.2,72.0,83.4,0.7,1.8
2026-03-04 09:00:00,114.89879407256004,145.8627439959121,171.99191619826266,0.3376413875956234,1.496899215432569,31.18560604363336,data\raw\images\20260304-1000.jpg,57.0146,ug.m-3,283.32043,279.70654,78.2750642585447,-0.9214325,0.06915283,101246.5,0.0,355.4194,0.46850586,611.4551,0.9240237907939702,55498.883,15353.8125,249.30132,275.06287,7.0594482,0.19667053,-2.538269,1.5762634,11.9,81.0,78.7,1.1,2.4
2026-03-04 10:00:00,110.30289218191108,140.6479816044967,167.0406642820644,0.345339101668572,1.51438153128569,31.41945686842646,data\raw\images\20260304-1100.jpg,52.847588,ug.m-3,285.02094,280.0418,71.55000429703054,-0.26522827,-0.35984802,101231.6,2.9563904e-05,545.39557,0.7555237,734.90106,0.4470309079975491,55531.883,15348.516,249.26482,274.9291,5.910614,1.6451111,-2.0259247,2.690567,12.7,60.0,72.8,0.6,2.1
2026-03-04 11:00:00,108.24579969340827,138.72745017884515,164.98746550843128,0.3482081994557332,1.5241927580704602,29.24727772636132,data\raw\images\20260304-1200.jpg,48.84201,ug.m-3,286.86548,280.60226,65.89231701506537,0.2928772,0.05055237,101210.805,6.198883e-06,591.3324,0.8048401,818.14056,0.2972080018984295,55559.7,15363.168,249.32344,275.14563,6.046463,2.3740997,-1.9833069,2.297638,13.6,26.0,68.0,0.6,2.2
2026-03-04 12:00:00,117.82903934593766,148.66612672457845,174.53884517118038,0.3330256589076659,1.4812888627349148,33.93450936444302,data\raw\images\20260304-1300.jpg,48.78715,ug.m-3,287.81598,280.44464,61.29637442272647,0.70936584,-0.0789032,101140.234,1.4305115e-06,603.71124,0.9992981,971.90686,0.7137405760702874,55556.418,15328.4375,249.4381,275.28076,6.514847,2.95018,-1.45047,1.8903961,14.3,200.0,64.3,,1.9
2026-03-04 13:00:00,112.8864844149208,143.89085334695963,169.9046806336229,0.3433586149871675,1.5050931917060613,34.474737584963734,data\raw\images\20260304-1400.jpg,48.882122,ug.m-3,288.7201,280.37036,57.542869257639055,0.40486145,-0.23512268,101074.69,6.198883e-06,917.4945,0.7923584,981.6798,0.4681831568376685,55544.473,15282.93,249.64589,275.37158,7.2953796,1.7883606,-0.7534485,0.74180603,15.3,280.0,58.7,,2.2
2026-03-04 14:00:00,96.23825242718446,123.51115482881964,145.02611650485437,0.3591177148642982,1.5069487583186831,39.187105650725314,data\raw\images\20260304-1500.jpg,45.26104,ug.m-3,289.1242,280.76035,57.58833073470095,-0.14300537,0.36383057,101015.484,3.33786e-06,967.52527,0.5316162,1054.1516,0.3909261049295146,55536.582,15244.824,249.97162,275.48248,8.436111,1.1187439,-1.0160217,0.47434998,15.3,269.0,58.3,,2.0
2026-03-04 15:00:00,82.46364844149208,107.7684261624936,129.3438937148697,0.3897619259954819,1.5684958717069528,37.480121460210334,data\raw\images\20260304-1600.jpg,50.16086,ug.m-3,289.21777,280.69263,56.98164204080632,-0.35801697,1.0715027,100987.62,0.0,599.68506,0.19854736,1187.407,1.1297319093109084,55546.355,15228.125,250.12886,275.64972,9.018234,0.32655334,-2.1022644,0.06150818,15.7,233.0,54.8,0.9,2.9
2026-03-04 16:00:00,77.09685232498722,105.86800715380684,135.35253449156872,0.4566897843955524,1.755616846267586,36.176463876038326,data\raw\images\20260304-1700.jpg,42.455307,ug.m-3,289.04565,281.4204,60.53503357548911,-0.36724854,1.2775269,100941.45,0.0,489.35367,0.110443115,1370.4216,1.329265387481274,55521.88,15194.121,250.14163,275.69592,8.4357605,-0.46366882,-2.57901,-0.03819275,15.8,169.0,54.7,0.8,2.7
2026-03-04 17:00:00,84.86788962698007,124.90467041389884,164.0042718446602,0.5076142768919756,1.9324655135533928,38.44923362458516,data\raw\images\20260304-1800.jpg,45.197674,ug.m-3,288.98688,281.773,62.2313707400591,-0.5871124,1.3699951,100981.48,0.0,114.00523,0.066711426,1328.439,1.4904990923371169,55553.22,15225.555,250.11537,275.90012,7.635544,-1.0370789,-2.5734863,0.004425049,14.9,155.0,59.0,0.9,2.9
2026-03-04 18:00:00,86.01768523249872,102.18004087889626,123.88652529381709,0.3171970013681159,1.440244799877109,33.932854275055625,data\raw\images\20260304-1900.jpg,38.451912,ug.m-3,285.61078,280.05804,68.90415758671466,-0.84487915,1.1926575,101015.125,0.0,61.027763,0.058532715,1371.4358,1.461592518594349,55578.938,15245.43,250.12752,276.16144,7.191864,-1.5891266,-2.1395874,0.50231934,13.9,157.0,66.0,0.9,2.7
2026-03-04 19:00:00,84.1568778742974,102.3205160960654,126.0550434338273,0.3403437043563674,1.4978578711564616,31.87643100333083,data\raw\images\20260304-2000.jpg,45.722885,ug.m-3,284.11475,279.28168,72.10068024842009,-1.2730103,0.4635315,101060.125,0.0,51.79765,0.04953003,1261.1654,1.3547755073805918,55614.37,15273.824,250.24208,276.15424,7.127655,-1.6882172,-1.7781067,1.3399048,13.2,133.0,69.9,0.8,1.9
2026-03-04 20:00:00,84.27489013796628,101.56438426162494,126.10766990291262,0.3376791582815459,1.496384844881757,29.889526737975675,data\raw\images\20260304-2100.jpg,41.01576,ug.m-3,283.3117,279.07538,74.98622212914998,-1.3561096,0.24914551,101111.42,0.0,48.3826,0.044006348,736.4754,1.3788062707883657,55635.895,15303.48,250.3545,275.9202,7.0051575,-0.9715576,-1.6260376,2.3797302,12.8,145.0,72.2,0.9,2.8
2026-03-04 21:00:00,85.63994379151762,103.78436893203884,128.0465610628513,0.3352148036124971,1.4951733256550854,28.049683121290013,data\raw\images\20260304-2200.jpg,47.761253,ug.m-3,282.15472,279.1037,81.20036350320606,-1.7982178,0.24484253,101155.66,0.0,44.202618,0.19787598,704.97394,1.814809940664212,55644.906,15327.934,250.41457,275.76172,6.635071,0.25131226,-1.4787598,3.0845032,12.4,126.0,74.1,0.8,2.5
